"","zcta","boro","pop_prc_ch","pov_pct_ch","hh_inc_med_ch","rent_gross_med_ch","norm_rental_ch","total_bach_degree_prc_ch","pop_race_asian_prc_ch","pop_race_black_prc_ch","pop_race_hisp_prc_ch","pop_race_white_prc_ch","avg_eviction_1000"
"16","10018","Manhattan","0.367527523407758","0.372524752475248","0.185868849723255","0.334773936170213","0.090119110015724","0.10365061740108","0.118095822241513","0.038522416999723","-0.424066404539234","0.0447171137498486","5.83"
"17","10019","Manhattan","0.0298374687439892","0.0295253729901984","0.187194007853588","0.167036872501111","-0.0547100080360487","0.0358625133214488","0.218877336838201","0.129738291458891","-0.0747742316584842","-0.08751504874996","2.59"
"18","10021","Manhattan","0.0519529600071138","0.0535738383338581","0.142165016714846","0.124288425047438","-0.060265070036424","0.0322486854918413","0.344409431339752","-1.17050065423939","0.251848874353327","-0.0789977814939064","0.89"
"19","10022","Manhattan","0.0483656311877171","0.0392143918138307","0.197585730586752","0.187576126674787","-0.124659750048997","0.030472066384711","0.102006631557493","-0.728861703462541","-0.0114588684449934","-0.0139209049692827","1.83"
"20","10023","Manhattan","0.0173456448938453","0.0194562234971315","0.150382005792612","0.174837310195228","-0.0958856589442178","-0.027655210021196","0.15177889060383","0.0317487469163792","0.102258707547051","-0.0438803222596036","0.79"
"21","10024","Manhattan","-0.00818635493573968","-0.00894046033859616","0.127003259137082","0.0774543660582141","-0.104401402909851","0.0366778389350431","0.220455700398743","-0.30124901846304","-0.0611215887537509","0.0115192433540475","0.71"
"22","10025","Manhattan","-0.0219003623572291","-0.0133528524531985","0.168654070332232","0.0360610263522885","-0.138786387782567","0.0742464426647753","0.128806489948541","-0.131925953968531","0.125882346301323","-0.0708061121860227","1.25"
"23","10026","Manhattan","0.0824834808627353","0.0800070557403488","0.226149515170472","0.188246097337006","0.0194109777039639","0.091891149747929","0.214731419672512","-0.0918118867350107","0.0784627500020176","0.0950804971271008","2.32"
"24","10027","Manhattan","0.0665034804559015","0.0693752983700471","0.216136683063949","0.177272727272727","0.00628777708214277","0.169808177643597","0.0687137521698063","-0.0794570507904815","0.0180005130847348","0.123040835665139","1.9"
"25","10028","Manhattan","0.0856840550198638","0.08586090533336","0.094183871211295","0.154991243432574","0.00986367275641906","0.098655324522516","0.29202662862491","-0.438155412882404","0.230915035120307","-0.0406712114406431","0.85"
